Ligand,Binding Affinity,rmsd/ub, rmsd/lb
6LU7_DB14761,-13.1,0.0,0.0
6LU7_DB14761,-13.0,2.417,1.155
6LU7_DB14761,-12.7,2.439,1.899
6LU7_DB14761,-12.3,7.018,2.243
6LU7_DB14761,-12.3,13.601,11.825
6LU7_DB14761,-11.8,7.36,2.219
6LU7_DB14761,-11.5,7.49,1.909
6LU7_DB14761,-11.3,19.6,18.856
6LU7_DB14761,-11.2,19.62,18.18
6LU7_934,-10.4,3.498,0.348
6LU7_934,-10.4,0.0,0.0
6LU7_934,-10.3,2.469,1.002
6LU7_null,-10.2,0.0,0.0
6LU7_null,-10.0,4.242,1.903
6LU7_null,-10.0,3.034,1.698
6LU7_934,-9.9,2.735,0.866
6LU7_null,-9.6,3.546,2.04
6LU7_null,-9.6,3.172,1.861
6LU7_934,-9.5,3.587,2.511
6LU7_null,-9.4,4.982,2.36
6LU7_934,-9.4,4.484,2.522
6LU7_934,-9.3,4.481,3.283
6LU7_934,-9.2,3.905,2.491
6LU7_934,-9.2,4.105,2.399
6LU7_null,-9.0,2.147,1.337
6LU7_null,-8.3,3.568,2.661
6LU7_null,-8.0,3.91,2.141
6LU7_ZINC000001529323,-6.9,0.0,0.0
6LU7_ZINC000001530741,-6.8,0.0,0.0
6LU7_ZINC000001529323,-6.7,1.981,1.323
6LU7_ZINC000001529323,-6.7,1.987,0.981
6LU7_ZINC000001530741,-6.6,4.564,1.36
6LU7_ZINC000001543873,-6.5,0.0,0.0
6LU7_ZINC000001529323,-6.5,10.325,4.205
6LU7_ZINC000003873817,-6.4,0.0,0.0
6LU7_ZINC000019418959,-6.3,0.0,0.0
6LU7_ZINC000000006787,-6.2,0.0,0.0
6LU7_ZINC000001530741,-6.1,5.21,1.809
6LU7_ZINC000001530741,-6.0,4.852,1.828
6LU7_ZINC000001529323,-6.0,22.731,20.22
6LU7_ZINC000019418959,-5.9,21.004,18.788
6LU7_ZINC000003873817,-5.9,2.102,1.714
6LU7_ZINC000001529323,-5.9,10.045,4.497
6LU7_ZINC000001529323,-5.9,22.443,20.706
6LU7_ZINC000000006787,-5.9,2.237,1.531
6LU7_ZINC000000006787,-5.9,2.342,1.102
6LU7_ZINC000095483532,-5.8,0.0,0.0
6LU7_ZINC000001543873,-5.8,4.282,1.552
6LU7_ZINC000001529323,-5.8,22.606,20.432
6LU7_ZINC000000006787,-5.8,7.039,1.357
6LU7_ZINC000095483532,-5.7,3.171,2.373
6LU7_ZINC000000006787,-5.7,7.22,1.331
6LU7_ZINC000000006787,-5.7,6.85,2.071
6LU7_vigabatrin,-5.6,0.0,0.0
6LU7_ZINC000019418959,-5.6,22.006,19.32
6LU7_ZINC000001530741,-5.6,18.848,16.725
6LU7_ZINC000001529323,-5.6,22.742,21.128
6LU7_ZINC000004097185,-5.5,0.0,0.0
6LU7_ZINC000001543873,-5.5,4.207,1.537
6LU7_ZINC000001543873,-5.5,6.327,2.603
6LU7_ZINC000001543873,-5.5,4.625,1.949
6LU7_ZINC000001530741,-5.5,4.557,2.548
6LU7_ZINC000000006787,-5.5,7.142,2.105
6LU7_ZINC000000006787,-5.5,19.849,17.541
6LU7_ZINC000000006787,-5.5,7.122,1.562
6LU7_ZINC000095483532,-5.4,2.701,1.756
6LU7_ZINC000019418959,-5.4,21.352,18.865
6LU7_ZINC000019418959,-5.4,6.311,3.076
6LU7_ZINC000019418959,-5.4,21.614,18.514
6LU7_ZINC000004097185,-5.4,2.136,1.299
6LU7_ZINC000095483532,-5.3,6.135,1.977
6LU7_ZINC000095483532,-5.3,12.172,10.119
6LU7_ZINC000004097185,-5.3,8.905,3.217
6LU7_ZINC000003873817,-5.3,17.103,13.745
6LU7_ZINC000001530741,-5.3,19.047,16.559
6LU7_ZINC000003873817,-5.2,16.69,13.373
6LU7_ZINC000003873817,-5.2,21.839,19.354
6LU7_ZINC000001543873,-5.2,2.757,1.939
6LU7_ZINC000001543873,-5.2,4.282,2.775
6LU7_ZINC000001530741,-5.2,6.093,2.798
6LU7_ZINC000001530741,-5.2,4.969,1.673
6LU7_ZINC000000020246,-5.2,0.0,0.0
6LU7_ZINC000095483532,-5.1,2.81,1.875
6LU7_ZINC000095483532,-5.1,6.353,2.041
6LU7_ZINC000019418959,-5.1,20.994,18.458
6LU7_ZINC000004097185,-5.1,23.399,20.631
6LU7_ZINC000003873817,-5.1,21.866,19.613
6LU7_ZINC000003873817,-5.1,21.343,19.176
6LU7_ZINC000003873817,-5.1,21.978,19.393
6LU7_ZINC000003873817,-5.1,22.407,19.925
6LU7_ZINC000001543873,-5.1,5.879,3.106
6LU7_ZINC000000020246,-5.1,5.008,2.125
6LU7_ZINC000000020246,-5.1,4.529,2.53
6LU7_ZINC000019796018,-5.0,6.565,4.06
6LU7_ZINC000019796018,-5.0,0.0,0.0
6LU7_ZINC000019418959,-5.0,2.699,1.809
6LU7_ZINC000019418959,-5.0,21.28,19.55
6LU7_ZINC000004097185,-5.0,23.58,20.813
6LU7_ZINC000001543873,-5.0,4.691,2.473
6LU7_ZINC000000020246,-5.0,20.242,18.007
6LU7_ZINC000095483532,-4.9,17.694,16.23
6LU7_ZINC000095483532,-4.9,3.653,2.774
6LU7_ZINC000004097185,-4.9,5.241,2.982
6LU7_ZINC000004097185,-4.9,5.287,2.494
6LU7_ZINC000003008621,-4.8,0.0,0.0
6LU7_vigabatrin,-4.7,10.923,9.803
6LU7_ZINC000019796018,-4.7,6.128,3.964
6LU7_ZINC000019796018,-4.7,4.374,2.237
6LU7_ZINC000019796018,-4.7,6.228,3.99
6LU7_ZINC000019796018,-4.7,22.7,20.428
6LU7_ZINC000019796018,-4.7,22.675,20.271
6LU7_ZINC000019796018,-4.7,7.823,4.049
6LU7_ZINC000004097185,-4.7,4.786,2.529
6LU7_ZINC000003008621,-4.7,2.882,0.585
6LU7_ZINC000003008621,-4.7,2.419,1.646
6LU7_ZINC000019796018,-4.6,5.823,3.688
6LU7_ZINC000004097185,-4.6,8.193,2.69
6LU7_ZINC000000020246,-4.6,21.59,19.161
6LU7_ZINC000000020246,-4.5,4.681,2.95
6LU7_ZINC000000020246,-4.5,20.942,18.71
6LU7_ZINC000000020246,-4.5,5.217,2.64
6LU7_vigabatrin,-4.4,2.859,2.417
6LU7_vigabatrin,-4.4,11.976,10.988
6LU7_vigabatrin,-4.3,14.681,13.961
6LU7_vigabatrin,-4.3,3.945,3.68
6LU7_vigabatrin,-4.3,15.563,15.242
6LU7_ZINC000003008621,-4.3,1.581,1.291
6LU7_ZINC000000020246,-4.3,20.374,18.912
6LU7_vigabatrin,-4.2,2.842,2.62
6LU7_vigabatrin,-4.2,13.372,12.826
6LU7_ZINC000003008621,-4.1,2.339,1.646
6LU7_ZINC000003008621,-4.0,5.5,3.776
6LU7_ZINC000003008621,-3.8,3.428,1.721
6LU7_ZINC000003008621,-3.6,4.212,2.728
6LU7_ZINC000003008621,-3.6,3.193,2.21
